,video_id,frame_seq,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures
0,233,0,0.0,55.38297685924226,150.79616331603424,21.537824334149832,30.921779386822436,46.15248071603537,52.30614481150678,52.39656172395551,160.11356244406005,129.26356976814077,101.53545757527765,101.53545757527765,104.61228962301334,50.767728787638816,56.92139288311023,26.15307240575328,29.229904453488984,15.38416023867842,12.307328190942826,12.307328190942826,64.61347300244938,64.61347300244938,76.9823132393626,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
1,233,1,0.0333666666666666,65.11627906976742,155.06976434170525,18.604651162790788,28.078713606627645,49.70920788180288,55.81395348837236,52.7131782945736,164.37033526447846,136.4341085271318,103.87596899224808,102.32558139534888,105.4263565891473,51.162790697674495,60.465116279069775,29.45736434108528,32.55813953488371,18.604651162790677,15.503875968992247,15.503875968992247,65.11627906976747,62.015503875969046,77.76704622626028,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
2,233,2,0.0667333333333332,55.3780621555344,150.8769130033665,18.459354051844684,27.85942672344862,43.181563435438456,49.22494413825257,52.39191203571561,153.95096360678187,126.17643278836718,98.44988827650548,95.37332926786462,101.52644728514622,46.14838512961194,55.37806215553428,24.6124720691264,27.68903107776725,15.382795043204055,12.3062360345632,12.3062360345632,67.68429819009748,61.53118017281588,73.9014833918467,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
3,233,3,0.1000999999999998,33.845152525092544,150.79616331603424,18.460992286414125,21.75648805526001,43.07564866829944,46.15248071603537,52.39656172395549,126.30011414565368,104.65752737199172,87.68971336046707,89.22812938433492,92.30496143207064,38.4604005966961,35.3835685489604,10.768912167074973,19.99940831028198,18.460992286414125,18.460992286414125,16.922576262546272,73.8439691456565,67.69030505018515,67.69030505018509,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
4,233,4,0.1334666666666664,18.31847591532062,143.52720389557962,18.31847591532062,24.424634553760825,39.69003114986117,39.80728408226816,51.902348426741696,112.96393481114376,88.53930025738293,79.38006229972268,82.43314161894273,85.48622093816289,32.05733285181111,29.00425353259095,4.579618978830126,13.738856936490492,18.57115648498045,15.567711025249949,16.791936255710652,70.2208243420622,64.11466570362205,70.28716429482877,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
5,233,5,0.166833333333333,3.053346154021483,140.58661458655666,18.320076924128895,24.426769232171974,36.7671564954414,36.7671564954414,51.906884618365325,97.70707692868768,73.2803076965157,71.75363461950496,76.33365385053719,82.44034615858016,27.480115386193347,18.32007692412901,9.160038462064447,9.160038462064447,21.37342307815049,18.572779577712016,18.320076924128895,73.2803076965157,64.12026923445126,70.22696154249434,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
6,233,6,0.2001999999999996,6.826892898474957,140.4748304090257,18.57115648498045,24.42463455376071,36.7639433789439,39.80728408226815,51.99206733281863,100.79786569714612,76.38802016177256,73.27390366128247,76.32698298050252,79.38006229972257,25.95117421337079,22.898094894150745,4.579618978830126,7.6326982980501725,24.424634553760825,21.58853090120949,21.37155523454078,76.32698298050252,70.22082434206231,70.28716429482856,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
7,233,7,0.2335666666666662,15.10654827407749,118.83834388621392,14.813189313952536,26.663740765114422,29.62637862790507,35.67488402750277,53.40971362461082,109.77762670322524,83.16520791508536,75.54726550115754,85.91649802092434,77.02858443255286,28.145059696509747,28.145059696509637,1.481318931395208,13.331870382557211,26.663740765114422,23.701102902323896,23.701102902323896,74.06594656976227,74.06594656976227,62.21539511860033,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
8,233,8,0.2669333333333328,12.123831932583531,112.08519552764858,17.886126939109104,26.627008247732267,29.551268882563534,29.55126888256397,53.25401649546463,109.15410056841544,82.5426780787019,76.45199004571975,88.21383466813813,79.39245120132432,30.874842133848347,24.9939198226391,1.47023057780234,16.1725363558254,26.46415040044144,23.523689244836877,24.9939198226391,73.51152889011507,73.51152889011507,55.94608899966347,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
9,233,9,0.3002999999999994,8.886694914058694,112.7206013535572,17.773389828117615,26.82414835064305,26.824148350643167,29.770059523046207,56.360300676778486,109.76257444462212,82.9953660011696,78.49913840751901,85.90471750256802,79.98025422652881,26.66008474217631,26.66008474217631,0.0,11.848926552078296,26.66008474217631,23.88227497587853,25.178968923166508,71.09355931247006,68.13132767445046,56.36030067677837,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
10,233,10,0.333666666666666,18.02250565195529,109.98638224616964,14.814408389432629,26.6659351009788,26.66593510097846,32.72609778346604,56.37266852873275,115.7042283223153,89.08375679543815,79.9978053029364,88.886450336596,79.9978053029364,28.14737593992197,31.110257617808657,4.444322516829857,13.332967550489345,26.83003471199337,26.6659351009788,26.6659351009788,65.18339691350366,65.18339691350366,50.36898852407103,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
11,233,11,0.3670333333333326,26.274572627962584,111.2822654741814,14.596984793312572,26.274572627962584,29.19396958662492,32.24579336090592,52.63017713945652,119.73087241384734,93.46630712349832,80.28341636321898,87.58190875987532,78.82371788388775,30.653668065956367,36.49246198328137,10.217889355318787,16.056683272643795,26.274572627962584,26.43626383179603,26.274572627962584,67.14613004923768,67.14613004923768,52.63017713945651,"{'others': ['m1', 'm3', 'm12', 'e1', 'e2']}"
