,video_id,frame_seq,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures
0,44,161,1,5.372033333333337,20.667971014676823,155.78290352882283,20.667971014676368,31.42958991634078,41.65762736367133,41.65762736367133,32.678931510359355,104.49596151830885,73.0723122892238,62.00391304402911,72.33789855136774,56.83692029036047,33.585452898849326,38.75244565251842,7.7504891305038655,18.08447463784205,20.667971014676368,21.30405689017873,20.667971014676368,41.33594202935319,56.83692029036047,46.50293478302211,{}
1,44,162,0,5.405400000000004,16.144147055911617,151.54110294686706,17.017425192460795,32.73367093177405,43.38609156373123,48.73048977266864,32.73367093177405,98.20101279532258,65.46734186354854,56.50451469568998,69.9579705756164,53.81382351970478,29.597602935837585,34.97898528780843,2.6906911759856484,18.83483823189636,21.525529407882004,21.525529407882004,21.525529407882004,48.4324411677344,59.19520587167517,59.19520587167551,{}
2,44,163,0,5.438766666666671,11.072730647165372,166.45964153672924,16.609095970748058,33.67639554433069,44.635604227465805,50.13392027046989,35.015048762592784,95.572483575861,61.8984460590175,55.36365323582686,66.43638388299178,55.36365323582686,27.68182661791297,33.21819194149612,4.547473508864641e-13,16.609095970747603,22.827019011138297,16.609095970748058,16.609095970748058,44.29092258866103,49.82728791224372,55.36365323582663,{}
3,44,164,0,5.472133333333337,11.563881692555242,150.77457068717035,17.34582253883309,29.482229201608543,46.615497388105766,46.25552677022108,36.56820474119758,94.12317773381432,64.64406387079735,57.81940846277666,63.60134930905406,52.037467616498816,23.12776338511094,34.69164507766527,5.781940846277394,11.563881692555697,17.345822538832635,23.127763385110484,23.127763385110484,46.25552677022142,46.25552677022142,52.0374676164987,{}
4,44,165,0,5.505500000000004,11.574769902869775,150.5832634724573,17.362154854304208,28.936924757173983,40.92299144496513,46.29907961147831,36.60263628543391,93.3187783341833,64.7049308168377,57.87384951434797,63.66123446578285,57.87384951434797,26.043232281456767,31.8306172328912,2.893692475717671,14.468462378586992,17.362154854304208,23.149539805739096,23.149539805739096,52.08646456291308,46.29907961147819,46.29907961147819,{}
5,44,166,0,5.538866666666671,6.049506040189044,145.31412168668828,18.14851812056713,30.84654934652136,42.77646743846652,42.34654228132331,32.57758702817365,86.61574500463622,55.77368988218475,51.42080134160688,60.49506040189044,54.4455543617014,27.2227771808507,27.2227771808507,3.024753020094522,15.12376510047261,24.198024160756177,18.14851812056713,18.14851812056713,48.39604832151235,48.39604832151235,48.39604832151224,{}
6,44,167,0,5.572233333333338,12.46202676686562,143.44870067656498,19.70419442263951,24.924053533730785,43.61709368402933,43.61709368402944,31.772058831581475,88.11983634178854,63.54411766316293,56.07912045089461,62.31013383432765,56.07912045089461,28.03956022544708,28.03956022544753,3.1155066917162912,9.346520075148874,18.6930401502982,19.704194422639542,18.6930401502982,43.61709368402944,49.84810706746202,49.84810706746214,{}
7,44,168,0,5.605600000000004,6.421612990679478,141.8580675894261,19.26483897203798,32.74392994821509,45.40766091864988,45.40766091865017,34.58144428244395,91.9435057381578,59.2043464550976,54.58371042077442,70.63774289747289,57.794516916113935,32.108064953396934,25.686451962717456,6.421612990679478,19.26483897203798,19.26483897203798,19.26483897203798,19.26483897203798,44.95129093475544,51.37290392543491,51.37290392543491,{}
8,44,169,0,5.638966666666671,6.643638388299223,152.94804166211424,19.93091516489767,33.87604178319186,46.505468718094335,40.411674653197146,33.87604178319137,93.95523512235243,60.16070432456353,56.47092630054294,66.43638388299178,59.79274549469256,29.896372747346504,29.896372747346504,3.321819194149612,9.965457582448837,26.574553553196893,27.39242281336597,26.574553553196893,46.50546871809456,53.149107106393785,53.14910710639356,{}
9,44,170,0,5.672333333333338,6.633581268066337,139.46305960540042,19.90074380419992,33.8247603308752,39.80148760839961,46.435068876466175,35.72292839005903,94.9784296048794,61.158597412005285,56.385440778566135,66.3358126806661,59.7022314125993,29.85111570629988,29.851115706299424,3.316790634033623,9.95037190209996,19.90074380419992,19.900743804199465,19.900743804199465,46.435068876466175,46.435068876466175,46.435068876466175,{}
