,video_id,frame_seq,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
0,4,0,0.0,1.0,82.0,4.0,7.0,23.021728866442675,23.0,24.020824298928627,36.013886210738214,29.017236257093817,28.5,31.0,31.0,7.0,5.0,3.0,4.0,4.47213595499958,4.123105625617661,4.5,23.0,33.0,33.24154027718932
1,4,1,0.0333666666666666,0.0,82.09750300709517,4.123105625617661,6.082762530298219,22.02271554554524,22.02271554554524,24.020824298928627,34.0147027033899,28.0,28.0,33.0,29.0,7.0,3.0,4.0,5.0,5.385164807134504,6.082762530298219,6.0,19.0,34.0,30.4138126514911
2,4,2,0.0667333333333332,1.4142135623730951,78.31347265956222,4.123105625617661,7.0710678118654755,23.021728866442675,23.08679276123039,23.0,35.12833614050059,28.071337695236398,27.5,34.0,27.0,7.5,4.5,2.5,4.5,5.830951894845301,5.385164807134504,5.5,18.0,36.0,33.54101966249684
3,4,3,0.1000999999999998,2.0,85.84287972802403,5.0990195135927845,8.06225774829855,23.08679276123039,23.08679276123039,21.02379604162864,36.124783736376884,28.071337695236398,27.0,36.0,24.0,9.0,6.0,2.0,6.0,6.324555320336759,6.324555320336759,6.0,16.0,36.0,32.2490309931942
4,4,4,0.1334666666666664,2.0,80.75270893288967,4.123105625617661,8.246211251235321,23.08679276123039,22.20360331117452,23.0,37.12142238654117,29.017236257093817,28.0,36.0,25.0,7.5,6.5,0.5,5.5,6.708203932499369,6.708203932499369,6.5,16.0,37.0,31.04834939252005
5,4,5,0.166833333333333,2.23606797749979,83.60023923410746,6.082762530298219,8.06225774829855,22.090722034374522,23.194827009486403,23.0,39.11521443121589,31.064449134018133,30.0,36.0,26.0,8.0,8.0,0.0,4.0,6.324555320336759,6.708203932499369,6.5,16.0,38.0,31.04834939252005
6,4,6,0.2001999999999996,3.0,80.75270893288967,5.0990195135927845,7.280109889280518,21.095023109728988,22.20360331117452,23.021728866442675,38.2099463490856,31.064449134018133,29.5,36.0,25.0,7.5,7.5,0.5,4.5,6.708203932499369,6.324555320336759,6.0,17.0,39.0,31.78049716414141
7,4,7,0.2335666666666662,3.1622776601683795,84.01190391843289,5.0990195135927845,7.280109889280518,23.194827009486403,23.194827009486403,22.0,37.21558813185679,30.066592756745816,28.5,37.0,24.0,8.5,6.5,0.5,6.5,5.830951894845301,5.385164807134504,5.0,15.0,37.0,30.805843601498726
8,4,8,0.2669333333333328,2.0,85.70880934886448,5.0990195135927845,7.280109889280518,22.090722034374522,22.20360331117452,23.0,37.12142238654117,30.01666203960727,29.0,36.0,25.0,7.5,6.5,0.5,4.5,6.708203932499369,5.0990195135927845,5.0,16.0,37.0,29.832867780352597
9,4,9,0.3002999999999994,4.0,81.88406438373708,4.47213595499958,7.280109889280518,22.090722034374522,23.194827009486403,23.0,38.2099463490856,31.064449134018133,29.0,36.0,24.0,7.0,8.0,1.0,5.0,5.385164807134504,6.324555320336759,6.0,15.0,37.0,29.120439557122072
10,4,10,0.333666666666666,3.0,85.84287972802403,6.082762530298219,7.280109889280518,23.08679276123039,23.194827009486403,22.02271554554524,38.2099463490856,31.064449134018133,29.5,37.0,25.0,9.0,7.0,0.0,5.0,7.280109889280518,6.324555320336759,6.5,15.0,36.0,31.575306807693888
11,4,11,0.3670333333333326,7.0,86.57944328765345,5.0990195135927845,7.280109889280518,24.08318915758459,23.194827009486403,22.02271554554524,41.19465984809196,34.058772731852805,30.5,36.0,26.0,9.0,10.0,3.0,6.0,6.708203932499369,6.324555320336759,6.5,16.0,36.0,28.635642126552707
12,4,12,0.4003999999999992,7.0,84.5931439302264,5.0990195135927845,8.06225774829855,22.090722034374522,24.186773244895647,22.0,42.04759208325728,34.0147027033899,30.5,37.0,27.0,10.0,10.0,2.0,7.0,7.280109889280518,7.280109889280518,7.0,17.0,36.0,30.59411708155671
13,4,13,0.4337666666666658,6.082762530298219,86.57944328765345,5.385164807134504,7.280109889280518,23.08679276123039,24.08318915758459,22.02271554554524,40.19950248448356,33.06055050963308,30.0,36.0,26.0,9.0,9.0,2.0,6.0,6.708203932499369,7.0710678118654755,7.0,17.0,36.0,28.635642126552707
14,4,14,0.4671333333333324,5.0,83.48652585896721,4.123105625617661,6.082762530298219,23.08679276123039,22.20360331117452,23.021728866442675,38.118237105091836,32.0624390837628,29.5,36.0,27.0,8.5,6.5,0.5,6.5,6.324555320336759,6.324555320336759,6.5,17.0,37.0,28.861739379323623
15,4,15,0.5004999999999991,3.0,82.38931969618392,5.0990195135927845,6.324555320336759,23.021728866442675,23.194827009486403,23.0,37.12142238654117,31.016124838541646,29.5,35.0,27.0,8.0,6.0,0.0,5.0,6.324555320336759,6.324555320336759,6.5,17.0,36.0,31.400636936215164
16,4,16,0.5338666666666656,1.0,80.50465825031493,5.0990195135927845,8.246211251235321,23.021728866442675,23.08679276123039,24.0,38.118237105091836,30.01666203960727,29.5,36.0,27.0,7.5,6.5,1.5,4.5,5.385164807134504,5.385164807134504,5.5,18.0,37.0,33.734255586866
17,4,17,0.5672333333333321,1.0,81.30190649671138,4.123105625617661,6.082762530298219,23.021728866442675,23.08679276123039,24.0,35.05709628591621,29.017236257093817,28.5,34.0,27.0,6.5,4.5,2.5,4.5,7.280109889280518,6.324555320336759,6.5,18.0,36.0,32.55764119219941
18,4,18,0.6005999999999987,0.0,81.2219182240853,4.123105625617661,8.06225774829855,23.021728866442675,23.08679276123039,24.0,36.05551275463989,28.0178514522438,28.0,34.0,28.0,7.0,5.0,3.0,5.0,6.324555320336759,6.082762530298219,6.5,18.0,36.0,30.59411708155671
19,4,19,0.6339666666666652,1.0,81.2219182240853,4.123105625617661,6.082762530298219,22.02271554554524,23.08679276123039,24.020824298928627,35.014282800023196,29.0,28.5,34.0,28.0,7.0,4.0,3.0,5.0,6.324555320336759,6.082762530298219,6.5,20.0,37.0,29.614185789921695
20,4,20,0.6673333333333318,1.0,82.21921916437786,4.123105625617661,7.0710678118654755,22.02271554554524,22.090722034374522,23.021728866442675,35.014282800023196,28.0,27.5,33.0,27.0,7.0,5.0,3.0,5.0,6.324555320336759,6.324555320336759,6.5,20.0,36.0,33.734255586866
