,video_id,frame_seq,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
0,56,231,1,7.699999999999976,3.0,57.706152185014034,5.0990195135927845,9.219544457292887,15.132745950421556,17.11724276862369,21.213203435596427,38.47076812334269,29.274562336608895,27.5,33.0,24.0,7.5,9.5,0.5,4.5,6.082762530298219,6.082762530298219,6.0,17.0,27.0,25.179356624028344
1,56,232,0,7.733333333333309,2.23606797749979,58.69412236331676,5.0990195135927845,9.055385138137417,17.26267650163207,17.26267650163207,20.223748416156685,36.49657518178932,27.459060435491963,26.0,32.0,23.0,7.5,8.5,0.5,4.5,5.0990195135927845,6.0,5.5,16.0,25.0,26.1725046566048
2,56,233,0,7.766666666666643,4.123105625617661,54.45181356024793,5.0,9.055385138137417,15.132745950421556,16.1245154965971,19.235384061671343,37.33630940518894,28.284271247461902,26.0,32.0,25.0,9.5,8.5,0.5,5.5,6.082762530298219,5.0990195135927845,5.5,16.0,26.0,25.495097567963924
3,56,234,0,7.799999999999976,3.1622776601683795,54.589376255824725,5.0,10.04987562112089,14.142135623730951,15.132745950421556,20.223748416156685,38.3275357934736,28.284271247461902,26.5,33.0,25.0,9.0,9.0,0.0,5.0,7.280109889280518,6.082762530298219,6.5,17.0,27.0,26.68332812825267
4,56,235,0,7.833333333333309,2.23606797749979,55.326304774492215,7.0,10.04987562112089,15.132745950421556,16.1245154965971,18.24828759089466,37.33630940518894,27.294688127912362,26.0,31.0,25.0,10.0,9.0,1.0,5.0,6.324555320336759,6.082762530298219,6.0,17.0,29.0,26.68332812825267
5,56,236,0,7.866666666666642,4.123105625617661,53.46026561849464,6.0,10.04987562112089,15.132745950421556,16.1245154965971,18.439088914585774,38.47076812334269,28.442925306655784,26.0,32.0,25.0,10.5,9.5,0.5,5.5,7.0710678118654755,5.0,5.0,17.0,29.0,25.709920264364882
6,56,237,0,7.899999999999975,4.123105625617661,61.40032573203501,5.0,11.045361017187261,17.11724276862369,18.110770276274835,20.223748416156685,40.311288741492746,29.274562336608895,27.0,33.0,26.0,9.5,10.5,0.5,6.5,5.0990195135927845,5.0,4.5,15.0,27.0,22.360679774997898
7,56,238,0,7.933333333333309,1.0,65.37583651472461,6.082762530298219,11.180339887498949,18.027756377319946,20.024984394500787,19.235384061671343,37.48332962798263,26.30589287593181,25.5,31.0,24.0,8.5,9.5,1.5,4.5,5.0990195135927845,4.47213595499958,4.0,16.0,30.0,28.442925306655784
8,56,239,0,7.966666666666642,1.0,64.38167441127949,7.0710678118654755,12.165525060596439,19.026297590440446,20.09975124224178,18.24828759089466,38.47076812334269,26.30589287593181,25.5,32.0,25.0,10.5,9.5,2.5,4.5,5.0990195135927845,4.123105625617661,4.0,16.0,28.0,24.331050121192877
9,56,240,0,7.999999999999975,0.0,62.289646009589745,6.082762530298219,12.041594578792296,17.029386365926403,18.027756377319946,17.26267650163207,35.35533905932738,23.345235059857504,23.0,29.0,23.0,9.0,9.0,3.0,4.0,5.0990195135927845,4.123105625617661,4.0,18.0,31.0,30.265491900843113
