,frame_seq,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
0,0,38.3275357934736,166.388100536066,14.142135623730951,26.68332812825267,50.44799302251776,54.57105459856901,17.46424919657298,96.1041102138717,69.42621983083913,49.0,49.0,7.0,12.0,66.0,42.0,7.0,17.11724276862369,16.15549442140351,15.5,24.0,71.0,66.76076692189807
1,1,36.345563690772494,163.95426191471816,15.297058540778355,27.459060435491963,49.24428900898052,53.36665625650534,16.55294535724685,95.12623192369179,67.68308503607086,48.0,48.0,8.0,13.0,65.0,39.0,6.0,16.1245154965971,15.231546211727817,14.5,23.0,69.0,65.80273550544841
2,2,38.3275357934736,164.92422502470643,14.142135623730951,25.495097567963924,48.27007354458868,53.36665625650534,16.55294535724685,93.94147114027967,68.4470598345904,48.0,47.0,7.0,12.0,65.0,42.0,6.0,16.1245154965971,16.15549442140351,15.5,23.0,70.0,65.80273550544841
3,3,36.345563690772494,165.89454481688057,15.297058540778355,28.442925306655784,50.21951811795888,54.3415126767741,15.231546211727817,94.92101980067429,66.49060083951716,47.0,47.0,7.0,13.0,66.0,39.0,6.0,16.278820596099706,16.15549442140351,15.5,24.0,70.0,64.5600495662759
4,4,36.345563690772494,168.0773631397161,15.297058540778355,28.442925306655784,49.24428900898052,53.36665625650534,15.231546211727817,94.92101980067429,66.49060083951716,47.0,47.0,6.0,12.5,66.5,40.5,5.5,16.278820596099706,15.811388300841896,15.0,24.0,69.0,65.25335240430181
5,5,36.22154055254967,164.68454693747074,15.297058540778355,28.442925306655784,49.24428900898052,53.36665625650534,15.652475842498529,94.92101980067429,66.49060083951716,47.0,47.0,8.0,13.5,65.5,39.5,6.5,17.11724276862369,15.811388300841896,15.5,24.0,69.0,66.76076692189807
6,6,36.345563690772494,163.95426191471816,16.1245154965971,28.442925306655784,50.00999900019995,53.150729063673246,16.1245154965971,96.1041102138717,67.68308503607086,48.0,48.0,8.0,14.0,66.0,39.0,6.0,18.24828759089466,17.08800749063506,16.0,25.0,70.0,66.76076692189807
7,7,37.48332962798263,164.68454693747074,15.132745950421556,27.65863337187866,49.24428900898052,53.36665625650534,15.231546211727817,95.12623192369179,67.468511173732,47.5,47.0,8.0,13.5,65.5,39.5,6.5,17.26267650163207,16.15549442140351,15.5,25.0,70.0,64.5600495662759
8,8,36.49657518178932,163.95426191471816,14.142135623730951,28.442925306655784,49.47726750741192,52.630789467763066,15.652475842498529,94.14881836751856,65.73431371817918,46.0,47.0,7.0,13.0,65.0,39.0,7.0,16.1245154965971,15.231546211727817,14.5,25.0,69.0,66.76076692189807
9,9,35.510561809129406,163.47782724271815,15.132745950421556,28.284271247461902,50.21951811795888,53.36665625650534,15.231546211727817,93.74433316206373,65.5133574166368,46.5,47.0,9.0,14.0,64.0,38.0,7.0,17.26267650163207,16.15549442140351,15.5,26.0,72.0,63.89053137985315
10,10,36.49657518178932,163.71316379570703,16.1245154965971,28.442925306655784,49.24428900898052,53.150729063673246,14.317821063276353,94.92101980067429,66.49060083951716,47.0,47.0,8.0,14.5,65.5,39.5,6.5,16.278820596099706,15.231546211727817,14.5,26.0,71.0,64.8459713474939
11,11,35.35533905932738,163.47782724271815,16.1245154965971,28.635642126552707,49.03060268852505,53.36665625650534,15.652475842498529,95.12623192369179,66.49060083951716,47.5,47.0,9.0,14.0,65.0,39.0,6.0,18.110770276274835,15.231546211727817,14.5,25.0,70.0,63.60031446463138
12,12,35.35533905932738,162.50538452617502,16.1245154965971,27.65863337187866,50.21951811795888,53.36665625650534,16.15549442140351,94.92101980067429,67.26812023536856,48.5,47.0,9.0,13.0,65.0,39.0,6.0,18.24828759089466,16.15549442140351,15.5,25.0,69.0,63.89053137985315
13,13,38.3275357934736,163.24827717314508,16.1245154965971,26.476404589747453,48.05205510693585,52.392747589718944,15.652475842498529,95.90099061010788,69.42621983083913,49.0,46.0,9.0,13.5,66.5,41.5,5.5,17.11724276862369,16.55294535724685,15.5,25.0,70.0,65.52098900352466
14,14,34.36568055487916,162.50538452617502,16.1245154965971,29.427877939124322,49.03060268852505,53.36665625650534,15.231546211727817,94.72592042308166,65.30696746902278,47.0,47.0,9.0,14.0,65.0,38.0,6.0,17.26267650163207,16.15549442140351,15.5,24.0,69.0,63.60031446463138
15,15,36.345563690772494,163.47782724271815,16.1245154965971,28.442925306655784,50.21951811795888,54.3415126767741,14.7648230602334,94.92101980067429,66.49060083951716,47.0,47.0,9.0,15.0,65.0,38.0,7.0,17.26267650163207,16.15549442140351,15.5,25.0,70.0,62.6418390534633
16,16,35.35533905932738,163.24827717314508,16.278820596099706,28.442925306655784,50.00999900019995,53.36665625650534,15.231546211727817,94.92101980067429,66.49060083951716,47.5,46.0,9.0,13.5,65.5,38.5,5.5,17.11724276862369,16.15549442140351,15.5,25.0,70.0,64.8459713474939
17,17,37.21558813185679,162.74212730574712,15.297058540778355,27.459060435491963,49.24428900898052,52.172789842982326,15.231546211727817,94.72592042308166,67.26812023536856,47.5,48.0,9.0,14.5,64.5,38.5,7.5,16.278820596099706,16.55294535724685,15.0,26.0,71.0,63.89053137985315
18,18,36.345563690772494,162.50538452617502,16.1245154965971,27.65863337187866,49.03060268852505,53.36665625650534,15.231546211727817,94.92101980067429,67.26812023536856,48.0,47.0,9.0,14.0,65.0,39.0,6.0,18.24828759089466,16.15549442140351,15.5,25.0,70.0,63.89053137985315
19,19,36.345563690772494,163.47782724271815,16.1245154965971,28.442925306655784,49.24428900898052,54.3415126767741,15.231546211727817,95.70788891204319,67.26812023536856,48.0,48.0,10.0,15.0,65.0,38.0,7.0,17.11724276862369,16.15549442140351,15.5,25.0,70.0,65.80273550544841
20,20,36.345563690772494,163.47782724271815,15.297058540778355,28.442925306655784,49.24428900898052,53.36665625650534,15.231546211727817,94.92101980067429,66.49060083951716,47.0,47.0,9.0,14.0,65.0,39.0,7.0,18.110770276274835,16.15549442140351,15.5,27.0,71.0,64.5600495662759
21,21,37.21558813185679,163.47782724271815,15.297058540778355,27.459060435491963,49.03060268852505,53.36665625650534,16.55294535724685,95.90099061010788,68.4470598345904,48.5,47.0,9.0,13.0,66.0,40.0,6.0,18.24828759089466,17.08800749063506,16.5,24.0,70.0,64.5600495662759
22,22,38.3275357934736,163.24827717314508,14.142135623730951,26.476404589747453,49.24428900898052,53.36665625650534,16.55294535724685,94.92101980067429,68.4470598345904,48.0,47.0,10.0,13.5,64.5,39.5,7.5,17.11724276862369,16.15549442140351,15.5,25.0,70.0,63.60031446463138
23,23,38.2099463490856,162.27445886522005,14.317821063276353,26.476404589747453,49.03060268852505,52.392747589718944,16.15549442140351,94.72592042308166,68.24954212300622,48.0,46.0,9.0,12.5,65.5,40.5,6.5,16.1245154965971,16.15549442140351,15.5,24.0,70.0,63.60031446463138
24,24,36.22154055254967,162.50538452617502,16.278820596099706,27.459060435491963,49.24428900898052,53.36665625650534,14.317821063276353,93.74433316206373,66.2872536767062,47.0,47.0,9.0,15.0,64.0,38.0,7.0,17.26267650163207,16.15549442140351,15.5,24.0,69.0,65.52098900352466
25,25,36.345563690772494,163.47782724271815,15.297058540778355,29.274562336608895,49.03060268852505,53.36665625650534,15.231546211727817,95.70788891204319,66.49060083951716,47.0,47.0,9.0,14.0,66.0,38.0,6.0,17.11724276862369,14.866068747318506,15.0,24.0,69.0,64.8459713474939
26,26,35.35533905932738,163.47782724271815,16.1245154965971,28.442925306655784,49.03060268852505,53.36665625650534,15.231546211727817,94.72592042308166,66.2872536767062,47.5,48.0,10.0,15.0,64.0,38.0,6.0,16.1245154965971,15.231546211727817,15.0,25.0,70.0,66.48308055437865
27,27,37.33630940518894,161.533278305122,15.297058540778355,28.442925306655784,49.03060268852505,54.3415126767741,15.231546211727817,95.90099061010788,67.468511173732,47.5,47.0,9.0,14.0,66.0,40.0,6.0,17.11724276862369,15.811388300841896,16.0,25.0,70.0,66.48308055437865
28,28,36.345563690772494,161.533278305122,15.132745950421556,28.442925306655784,50.00999900019995,54.12947441089743,16.15549442140351,95.70788891204319,67.26812023536856,48.0,48.0,10.0,14.0,65.0,38.0,7.0,16.278820596099706,15.231546211727817,15.0,25.0,70.0,65.52098900352466
29,29,35.35533905932738,160.80111939908875,15.297058540778355,28.442925306655784,49.24428900898052,53.36665625650534,15.231546211727817,93.94147114027967,65.5133574166368,46.5,48.0,9.0,14.5,63.5,37.5,7.5,17.11724276862369,15.231546211727817,15.0,24.0,69.0,64.8459713474939
30,30,37.33630940518894,161.3009609394811,15.132745950421556,28.284271247461902,49.03060268852505,54.12947441089743,15.652475842498529,95.70788891204319,67.468511173732,47.5,47.0,10.0,14.5,65.5,38.5,7.5,17.11724276862369,16.15549442140351,15.5,25.0,71.0,64.8459713474939
31,31,35.35533905932738,161.533278305122,15.297058540778355,29.427877939124322,49.24428900898052,53.36665625650534,15.231546211727817,94.92101980067429,65.5133574166368,46.5,47.0,9.0,14.0,65.0,38.0,7.0,16.1245154965971,16.15549442140351,15.5,24.0,70.0,66.48308055437865
32,32,37.48332962798263,162.50538452617502,15.297058540778355,27.459060435491963,50.21951811795888,53.150729063673246,14.866068747318506,94.92101980067429,67.468511173732,47.5,47.0,9.0,14.0,65.0,39.0,7.0,16.1245154965971,15.231546211727817,15.0,25.0,70.0,63.60031446463138
33,33,34.36568055487916,161.3009609394811,16.1245154965971,30.265491900843113,49.03060268852505,53.150729063673246,16.55294535724685,96.6902270139025,66.49060083951716,48.0,47.0,10.0,13.5,66.5,38.5,5.5,17.26267650163207,16.15549442140351,15.5,25.0,70.0,66.48308055437865
34,34,36.345563690772494,162.50538452617502,15.297058540778355,28.442925306655784,50.21951811795888,53.36665625650534,15.652475842498529,95.12623192369179,66.70832032063167,47.0,47.0,9.0,14.0,65.0,39.0,7.0,17.26267650163207,17.08800749063506,16.5,25.0,71.0,64.8459713474939
35,35,36.22154055254967,161.533278305122,15.297058540778355,28.442925306655784,49.03060268852505,53.36665625650534,16.1245154965971,95.12623192369179,66.70832032063167,47.0,48.0,10.0,15.0,64.0,37.0,7.0,17.11724276862369,16.15549442140351,16.0,25.0,70.0,65.80273550544841
36,36,37.33630940518894,163.71316379570703,15.297058540778355,28.635642126552707,48.27007354458868,52.392747589718944,14.866068747318506,95.90099061010788,67.26812023536856,47.5,48.0,9.0,14.5,65.5,39.5,7.5,17.11724276862369,16.15549442140351,15.5,25.0,71.0,64.5600495662759
37,37,37.33630940518894,161.3009609394811,16.278820596099706,29.427877939124322,50.99019513592785,54.3415126767741,15.652475842498529,98.0612053770501,68.65857557508748,48.5,49.0,12.0,16.5,65.5,37.5,8.5,17.26267650163207,16.15549442140351,15.5,25.0,72.0,65.52098900352466
38,38,41.30375285612676,162.50538452617502,15.297058540778355,28.635642126552707,47.07440918375928,51.19570294468082,15.811388300841896,100.80674580602232,72.18032973047436,50.5,51.0,13.0,17.0,67.0,41.0,9.0,14.317821063276353,14.317821063276353,13.5,25.0,71.0,64.8459713474939
39,39,45.27692569068709,160.3277892319357,14.142135623730951,28.442925306655784,49.24428900898052,53.150729063673246,18.027756377319946,105.54619841567009,77.10382610480494,53.5,54.0,17.0,18.5,68.5,42.5,12.5,7.615773105863909,7.211102550927978,5.5,26.0,71.0,64.5600495662759
40,40,50.24937810560445,159.8780785473731,14.142135623730951,28.442925306655784,46.87216658103186,52.952809179494906,18.027756377319946,110.47624178980746,82.03657720797473,56.0,57.0,22.0,22.5,69.5,43.5,14.5,6.708203932499369,7.810249675906654,6.0,30.0,72.0,65.52098900352466
41,41,57.21887800367987,162.18816233005415,15.132745950421556,26.476404589747453,46.87216658103186,52.773099207835045,18.027756377319946,116.40017182117903,89.94442728707543,60.5,58.0,26.0,25.0,73.0,48.0,16.0,7.280109889280518,7.810249675906654,6.0,31.0,72.0,63.06346010171025
42,42,60.207972893961475,161.99382704288456,15.132745950421556,26.476404589747453,48.662100242385755,53.9351462406472,18.973665961010276,120.3536455617361,93.90420650854784,63.0,60.0,29.0,26.5,74.5,49.5,17.5,6.324555320336759,7.211102550927978,5.5,31.0,71.0,61.84658438426491
43,43,61.204574992397426,161.62301816263673,14.317821063276353,26.30589287593181,48.662100242385755,52.952809179494906,20.615528128088304,122.18837915284743,95.88534820294495,64.5,61.0,32.0,26.5,74.5,49.5,18.5,8.54400374531753,8.602325267042627,6.5,34.0,72.0,62.81719509815764
44,44,62.20128616033595,162.43152403397562,16.1245154965971,27.294688127912362,48.662100242385755,54.74486277268398,19.6468827043885,125.02799686470227,97.73944955850733,66.0,62.0,34.0,29.0,76.0,50.0,19.0,8.246211251235321,8.94427190999916,7.5,34.0,71.0,61.61168720299745
45,45,63.198101237299845,163.24827717314508,15.132745950421556,26.30589287593181,48.507731342539614,53.600373133029585,18.681541692269406,123.0447073221762,96.74709297958259,64.5,61.0,34.0,29.5,74.5,49.5,19.5,6.708203932499369,6.4031242374328485,4.5,33.0,69.0,64.53681120105021
46,46,66.12110101926616,163.24827717314508,14.317821063276353,25.317977802344327,49.64876634922564,54.74486277268398,19.6468827043885,125.02799686470227,99.72462083156798,66.0,62.0,35.0,29.5,75.5,51.5,20.5,7.280109889280518,7.810249675906654,5.5,32.0,68.0,61.39218191268331
47,47,65.12296062065974,162.2621335986927,16.1245154965971,26.30589287593181,48.662100242385755,53.600373133029585,18.681541692269406,125.89678312014172,99.60923651951158,66.5,63.0,36.0,31.5,75.5,50.5,20.5,8.54400374531753,8.06225774829855,6.5,33.0,68.0,62.81719509815764
48,48,67.1863081289633,162.2621335986927,13.152946437965905,25.317977802344327,46.69047011971501,52.773099207835045,19.6468827043885,125.02799686470227,99.72462083156798,65.5,62.0,35.0,29.5,75.5,50.5,21.5,7.615773105863909,8.06225774829855,6.5,33.0,67.0,62.5859409132754
49,49,67.1863081289633,163.24827717314508,13.152946437965905,25.317977802344327,46.69047011971501,52.61178575186362,20.8806130178211,126.15070352558483,100.84145972763385,66.5,63.0,36.0,29.5,75.5,51.5,22.5,7.280109889280518,8.602325267042627,6.0,36.0,69.0,63.56099432828282
50,50,63.12685640834652,157.33403954643762,15.132745950421556,26.30589287593181,45.5411901469428,50.635955604688654,19.924858845171276,124.03628501370073,97.73944955850733,65.5,66.0,39.0,33.5,70.5,45.5,23.5,6.324555320336759,7.211102550927978,5.5,34.0,68.0,61.39218191268331
51,51,58.137767414994535,155.36408851468863,16.1245154965971,28.284271247461902,42.579337712087536,47.51841748206689,18.681541692269406,120.93386622447825,92.65527507918802,63.0,66.0,39.0,34.5,67.5,40.5,22.5,6.708203932499369,7.211102550927978,5.5,34.0,70.0,59.90826320300064
52,52,56.08029957123981,151.42654985173505,17.26267650163207,29.274562336608895,40.607881008493905,46.69047011971501,18.681541692269406,120.93386622447825,91.6624241442479,63.0,68.0,41.0,36.5,65.5,38.5,23.5,6.708203932499369,6.4031242374328485,5.0,33.0,69.0,60.63827174318213
53,53,55.14526271584895,149.2816130673835,17.11724276862369,31.400636936215164,39.45883931389772,45.70557952810576,17.72004514666935,121.06196760337245,89.67719888578144,61.5,66.0,40.0,36.0,67.0,37.0,22.0,5.830951894845301,5.656854249492381,4.0,30.0,67.0,62.0966987850401
54,54,49.09175083453431,143.56183336806478,18.110770276274835,31.25699921617557,40.607881008493905,45.70557952810576,19.6468827043885,117.83462988442744,86.57944328765345,61.5,68.0,41.0,35.5,62.5,32.5,22.5,8.94427190999916,8.06225774829855,7.0,31.0,68.0,63.06346010171025
